,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
10,French fries,Loves,Lunch,Eat,SSC GD 16/01/2023 (Shift-III),b,Ans. (b) :  In the underlined part of the above sentence  'love' will be used in place of 'loves' because whe n two  subjects (Jiten and Hiru) are joined by and then pl ural  verb (love) is used.  Correct Sentence -  Jiten and Hiru love  to eat french fries for lunch.,Jiten and Hiru loves to eat french fries for lunch,Parts of the following sentence have been underlined and given as options Select the option that contains an error.
11,I were,writing,This poem,Last evening,SSC GD 08/02/2023 (Shift-IV),a,"Ans. (a) :  In the given sentence of the above segment, 'I  was' will be used in place of 'I were'. Because 'I'  is used  as singular number in past continuous tense. It is the  first person pronoun.  Hence the correct sentence is– 'I was  writing this poem  last evening'.",I were/ writing/ this poem/ last evening,The following sentence has been split into fou r segments Identify the segment that contains a grammatical error.
12,of the heiress,One of these,the portrait,boxes have,SSC CGL (Tier-I) 20/07/2023 (Shift-I),d,"Ans. (d) :  The most appropriate option is (d) because  ‘boxes have’ is replaced by ‘boxes has’ because ‘on e  of’ is used as a singular Subject.  Note- One of + plural subject + singular verb  Thus, the correct answer is option (d).",One of these / boxes have / the portrait / of the heiress,The following sentence has been split into fou r segments Identify the segment that contains a grammatical error.
13,Neetu have been,in the morning,since 10 o’clock,waiting for me,SSC CGL (Tier-I) 14/07/2023 (Shift-I),a,Ans. (a) :  In the above sentence singular helping verb  ‘has been’ will be used in the place of plural help ing  verb ‘have been’ because the subject of the sentenc e  (Neetu) is singular.   Correct sentence –   Neetu has been  waiting for since 100° clock in the  morning.,Neetu have been/ waiting for me/ since 10 o’clock / in the morning,The following sentence has been split into four segments Identify the segment that contains an error.
14,to,invite me,She always,dinner,SSC CGL (Tier-I) 17/07/2023 (Shift-II),b,Ans. (b) :  In the above sentence 'Invites' (singular verb)  will be used in place of Invite (Plural verb) becau se  subject (she) is singular . Hence singular verb wil l be  used.  Correct sentence :– She always invites me  to dinner. @RexstarPdf,She always / invite me / to / dinner,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
15,Prema is the girl,who write,beautiful poems,in my class,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),b,. (b) : In the above sentence 'writes' will be used in  place of 'write' because the subject (Prema) of the   sentence is singular and relative pronoun 'who' is used  for singular subject 'prema' hence 'who' will be tr eated  as singular. Hence singular form of verb (V 1 + s/es)  will be used.   Correct sentence- Prema is the girl in my class who  writes  beautiful poems.,Prema is the girl in my class who write beautiful poems,"Identify the segment in the sentence, which contains the grammatical error."
16,is,Very few countries,as big as,in the world,SSC Stenographer Grade C&D  05/02/2019 (3:5pm),a,. (a) :  In the above sentence 'are' will be used in  place of 'is' because the subject (very few countri es) of  the sentence is plural. Hence plural verb (are) wil l be  used in the place of 'is'.   Correct sentence-  Very few countries in the world are   as big as India.,Very few countries in the world is as big as India,Identify the segment in the sentence which contains the grammatical error.
17,nor her,has applied,Neither Nita,for this job,SSC Stenographer Grade C&D  05/02/2019 (3:5pm),b,". (b) :  In the above sentence 'have' will be used in  place of 'has' because when two subjects are connec ted  with neither ---- nor, either ---- or then the verb  is used  according to the latter subject. (her sisters)  Correct sentence- Neither Nita nor her sisters have   applied for this job.",Neither Nita nor her sisters has applied for this job,Identify the segment in the sentence which contains the grammatical error.
18,1,2,3,4,SSC CGL (Phase-II) 17/02/2018,a,. (a) In the above sentence 'have' will be used in  place of 'has' because the subject (Modern medicine s) is  plural. Hence plural verb (have) will be used.   Correct sentence-   Modern medicines have  scored significant victories.,Modern medicines has scored significant victories (1)/ against both infection and trauma- (2)/ the major causes of ill health and death(3)/ No error (4),"In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select No Error"
19,a little nervous when,when we came into this room today.,all of us were,No error,SSC CPO-SI – 23/11/2020 (Shift-I),d,". (d) :  No error  Note— The subject of the sentence 'All of us' is plural  , So the use of 'were' is correct according to the Past  sense.   (ii) little/a little is used with  uncountable nouns and   few/a few  are used with countable nouns.",All of us were a little nervous when we came into this room today,"Identify the segment in the sentence which contains a grammatical error If there is no error, then select the option 'No error'."
20,to the cupboard,or Reema have,the keys,Either Ramesh,SSC CPO-SI – 25/11/2020 (Shift-II),b,". (b) :  In the above sentence 'has' will be used in  place of 'have' because if two subjects are joined with  either ---- or then the verb is determined accordin g to the  subject that comes after or. Hence, according to 'R eema'  the use of 'has' would be appropriate.   Correct sentence-    Either Ramesh or Reema has  the keys to the cupboard.",Either Ramesh or Reema have the keys to the cupboard,Identify the segment in the sentence which contains a grammatical error.
21,he is,over eighty and,without glasses,dare not read,SSC CPO-SI – 25/11/2020 (Shift-II),d,. (d) :  In the above sentence 'can not' will be used  in place of 'dare not' because the use of 'can not'   (capacity) gives the appropriate meaning according to  the sense of sentence.   Correct sentence-   He is over eighty and can not  read without glasses.,He is over eighty and dare not read without glasses,Identify the segment in the sentence which contains a grammatical error.
22,secretary’s performance,quite impressive,have been,our new,SSC CPO-SI – 23/11/2020 (Shift-II),c,. (c) :  In the above sentence 'has been' will be used  in place of 'have been' because 'Our New Secretary' s  performance' is a singular Subject. Hence singular verb  'has been' will be used after it.   Correct sentence-    Our new secretary’s performance has been  quite  impressive.,Our new secretary’s performance have been quite impressive,Identify the segment in the sentence which contains a grammatical error.
23,a two bedroom flat,as Diwali bonus,Every employee,were given,SSC CGL (Tier-I) – 06/06/2019 (Shift-I)Spotting Error 16 YCT,d,". (d) :  In the above sentence,  Every employee of  the company is used as singular Noun, so 'was' will  be  used in place of 'were'    Every Singular noun Singular Verb+ +   Correct Sentence :   Every employee of the company was  given a two  bedroom flat as Diwali bonus.",Every employee of the company were given a two bedroom flat as Diwali bonus,In the sentence identify the segment which contains the grammatical error.
24,have given,Each of the girls,an impressive,dance performance,SSC CGL (Tier-I) – 07/06/2019 (Shift-III),a,: (a) In the above sentence singular verb 'has given'  will be  used in place of plural verb 'have given' because  after the Distributive pronoun each of / either of  /Neither of Plural Noun/ Pronoun is used but the  auxiliary verb is singular.    Each of / Neither of Pluralsubject Singular ver b + +   Correct Sentence   Each of the girls has  given an impressive dance  performance.,Each of the girls have given an impressive dance performance,In the sentence identify segment which contains the grammatical error.
25,look beautiful,from the top,at night,with all its lights,SSC CGL (Tier-I) – 07/06/2019 (Shift-II),a,": (a) In the above sentence The main subject 'The  Doon Valley is singular, hence the sentence being i n  present Indefinite tense, the singular verb 'Looks'  will  be used by adding s/es at the end of the main verb.    Correct Sentence   The Doon Valley with all its lights looks  beautiful at  night from the top of the mountain.",The Doon Valley with all its lights look beautiful at night from the top of the mountain,In the sentence identify the segment which contains the grammatical error.
26,are on the field,The matchis about to begin,since the captain,as well as the team,SSC CGL (Tier-I) – 10/06/2019 (Shift-II),a,": (a) In the above sentence 'is' will be used in place  of 'are' because when two subjects are connected wit h'  as well as, like, with, besides, together with, no less  than, etc then the verb is used according to the fi rst  Subject. (The captain)   Correct Sentence   The match is about to begin since the captain as we ll as  the team is on the field .",The match is about to begin since the captain as well as the team are on the field,In the sentence identify the segment which contains the grammatical error.
27,Cows are amongst,towards their young,none shows more,the gentlest of animals,SSC CGL (Tier-I) – 13/06/2019 (Shift-I),c,": (c)  In the above sentence plural verb 'Show' will  be used in place of singular verb 'shows' because t he  verb coming after 'None' will be Singular or Plural   depending on the type of subject. In case of Singula r  Subject, singular verb will be used and in case of  plural Subject, Plural verb will be used. and here 'no  he' is used for cows (plural).  Correct Sentence   Cows are amongst the gentlest of animals; none show   more passionate tenderness towards their young.",Cows are amongst the gentlest of animals; none shows more passionate tenderness towards their young,In the sentence identify the segment which contains the grammatical error.
28,have risen,The cost of,this month,abnormally,SSC CGL (Tier-I) – 13/06/2019 (Shift-I),a,": (a) In the above sentence, 'has' will be used  instead of 'have' because the main subject is 'the cost'.  Which is singular. hence the following verb will be   singular accordingly. Hence has will be used.   Correct sentence -    The cost of fruits and vegetables has  risen abnormally  this month.",The cost of fruits and vegetables have risen abnormally this month,In the sentence identify the segment which contains the grammatical error.
29,Friction reduce,also gets reduced.,the efficiency of machines,so their value,SSC CGL (Tier-I) – 19/06/2019 (Shift-III),a,". (a) :  In the above sentence 'Friction reduces' will  be used in place of 'Friction reduce' because fricti on is  singular uncountable Noun, so singular verb (reduce s)  will be used.  Correct sentence-    Friction reduces  the efficiency of machines so their  value also gets reduced.",Friction reduce the efficiency of machines so their value also gets reduced,In the sentence identify the segment which contains the grammatical error.
30,neither Juhi nor Jaya,are responsible,for breaking the vase,I am sure that,SSC CGL (Tier-I) – 19/06/2019 (Shift-III),b,. (b) :  In the above sentence 'is responsible' will be  used in place of 'are responsible' because when two   subjects are connected with neither ----- nor eithe r ----  or then the verb 'is' used according to the Letter  Subject. (Jaya) which is singular.   Correct sentence -    I am sure that neither Juhi nor Jaya is  responsible for  breaking the vase.,I am sure that neither Juhi nor Jaya are responsible for breaking the vase,In the sentence identify the segment which contains the grammatical error.
31,Bushfire have created havoc,and exacerbated the conditions,No error,of animals in the forest.,SSC CHSL (Tier-I) 17/03/2023 (Shift-IV),a,Ans. (a) :  In the above question 'has' will be used in  place of 'have' because 'Bushfire' is Singular Subj ect.  Hence Singular Verb (has) will be used.,Bushfire have created havoc and exacerbated the conditions of animals in the forest,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
32,No error,the watchkeepers were very tired,everyone were up and buzzing.,Although people had been on watch and,SSC CHSL (Tier-I) 15/03/2023 (Shift-III),c,"Ans. (c) :  In the above sentence ''was'' will be used in  place of ''were'' because Singular verb is used aft er  ''everyone''.  Correct sentence-  Although People had been on watch and the watch  keepers were very tired, everyone was  up and buzzing.",Although people had been on watch and/ the watchkeepers were very tired/ everyone were up and buzzing,"Identify the segment in the sentence which contains a grammatical error If there is no error, then select the option ""No error""."
33,coated with algae and other,marine microbes that produces a chemical scent.,Plastic debris in the ocean can become,No error,SSC CHSL (Tier-I) 09/03/2023 (Shift-IV),b,"Ans. (b) :  In the above sentence ""Produce"" will be used  in place of ""Produces"" because Relative pronoun 'th at' is  used for plural noun (marine microbes). Hence plura l  ""verb"" will be used.   Note :  By adding s/es to the main verb, it becomes a  singular verb.   Correct Sentence :  Plastic debris in the ocean can become coated with  algae and other marine microbes that produce  a  chemical scent.",Plastic debris in the ocean can become coated with algae and other marine microbes that produces a chemical scent,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
34,I have learn,from my experience,is very important,that physical fitness,SSC Stenographer (Grade C & D) 12.11.2021 Shift-I,a,Ans. (a) :  In the above sentence 'I have Learned' will be  used in place of 'I have Learn' because after has/h ave/had the  main verb is always used in V3 form.   Present Past Past InfinitiveParticiple tense Participle learned learned To + Learn learningor learnt or learnt  Correct Sentence -   From my experience in mountain climbing. I have lea rned  learnt that physical fitness is very important.,From my experience in mountain climbing I have learn that physical fitness is very important,In the sentence identify the segment that cont ains a grammatical error.
35,they are harvesting,Apple growers in Himachal Pradesh says,a bumper crop this year,due to good weather conditions,SSC Stenographer (Grade C & D) 12.11.2021 Shift-II,b,Ans. (b) :  In the above sentence 'Apple growers in  Himachal Pradesh Say' will be used in place of 'App le  growers in Himachal Pradesh Says' because the Subje ct  (apple growers) of sentence is plural.   Hence plural verb (say) will be used.  Correct sentence –  Apple growers in Himachal Pradesh say  they are harvesting.,Apple growers in Himachal Pradesh says they are harvesting a bumper crop this year due to good weather conditions,Identify the segment in the sentence which contains a grammatical error.
36,A pack of wolves,were chasing,in the forest,the deer,SSC Stenographer (Grade C & D) 15.11.2021 Shift-II,b,"Ans. (b) :  In the above sentence, 'A pack of wolves' is a  singular noun, singular verb is used with any singu lar  Noun, So 'was' will be used in place of 'were'.  Correct Sentence-  A pack of wolves was  chasing the deer in the forest.",A pack of wolves/were chasing/the deer/in the forest,The following sentence has been split into fou r segments Identify the segment that contains a grammatical error.
37,A shop nearby,No error,Of daily use,Sell all the goods,SSC CGL (Tier-I) 19/04/2022 Shift-III,d,Ans. (d) :  In the above sentence 'Sells all the goods' will  be used in place of 'Sell all the goods' because 'A  shop'  is singular subject so singular verb will be used.   Correct Sentence-  A Shop nearby (Sells)  all the goods of daily use.,A shop nearby/sell all the goods/of daily use,"The following sentence has been split into segments One of them may contain an error Identify the segment that contains a grammatical error If you don't find any error, mark 'No error' as your answer."
38,The contrast between,Britain and other countries,of Europe,are striking,SSC CGL (Tier-I) 18/04/2022 Shift-I,d,Ans. (d) : In the above sentence 'is striking' will be   used in place of 'are striking' because 'contrast' is a  singular subject so singular verb 'is' will be used .  Correct Sentence-  The contrast between Britain and other countries of   Europe is striking.,The contrast between / Britain and other countries / of Europe / are striking,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
39,the workers gets,Every Saturday,No error,their weekly wages,SSC CGL (Tier-I) 18/04/2022 Shift-I,a,Ans. (a) : In the above sentence 'worker s get' will be  used in place of 'workers gets' because plural verb  (get)  is used with plural subject. (the workers)  Correct sentence –  Every saturday. the workers get  their weekly wages.,"Every Saturday, / the workers gets / their weekly wages","The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark ‘No error’ as your answer."
40,No error,We ordered a Pizza,my favourite foods,which are one of,SSC CGL (Tier-I) 13/04/2022 Shift-III,d,"Ans. (d) :  In the above sentence 'is'  will be used in place  of 'are' because 'which' relative Pronoun is used f or  'Pizza' which is singular, after that singular verb  will be  used so 'is' will be used in place of 'are'.   Correct Sentence  We ordered a pizza which is  one of my favourite foods.",We ordered a Pizza/ which are one of/ my favourite foods,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don’t find any error, mark ‘No error’ as your answer."
41,volunteers each year for,No error,A significant number of students,environmental projects,SSC MTS-07/07/2022 Shift-I,a,"Ans. (a) :  In the above sentence ''volunteer each year  for"" will be used in place of ''volunteers each yea r''  because plural verb (Volunteer) will be used for pl ural  subject (A significant number of Students).  Correct Sentence–  A significant number of students volunteer  each year for  environmental projects.  27.  The following sentence has been divided into  parts. One of them may contain an error. Select  the part that contains the error from the given  options. If you don't find any error, mark 'No  error' as your answer.     People sometimes asks me / why carbon dioxide  / is important for the climate.     (a) is important for the climate    (b) why carbon dioxide    (c) No error   (d) People sometimes asks me   SSC MTS-06/07/2022 Shift-II",A significant number of students volunteers each year for environmental projects,"Parts of the following sentence have been give n as options One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
42,risky activities,No error,Safety measures makes,less risky,SSC MTS-06/07/2022 Shift-III,c,"Ans. (c) :  In the above sentence ""Safety measures  make"" will be used in place of ""Safety measures mak es""  because the subject of the sentence is Safety measu res  'plural'. Hence the plural verb 'make' will be used    Note  – By adding's' to a verb, the verb become singular   and to make it plural, 's' removed from it.     Correct Sentence–  Safety measures make  risky activities less risky.",Safety measures makes risky activities less risky,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
43,that it anticipate,No error,The App has been so well - developed,all the customer's needs,SSC Constable GD-29/11/2021 Shift-II,a,"Ans. (a) :  In the above sentence ""that it anticipates"" will  be used in place of ""that it anticipate"" because si ngular  verb (Anticipates) is used after 'it'.   Correct Sentence -  The App has been so well -  developed that it anticipates  all the customers' needs.",The App has been so well-developed / that it anticipate / all the customers’ needs,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don’t find any error, mark ‘No error’ as your answer."
44,The poet,by the President,is awarded,and the author,SSC Constable GD-24/11/2021 Shift-IISpotting Error 14 YCT,c,"Ans. (c) :  In the above sentence 'are' will be used in  place of 'is' because when two subjects are joined by  and, And 'the' (article) is used before both subjec ts then  both subject considers they are different person/th ings  and it will be a plural subject so plural verb will  be  used.  Correct Sentence -   The poet and the author are  awarded by the president.",The poet / and the author / is awarded / by the President,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
45,consumers not to use low standard engine oil,people refuse to read the instructions,and damage their vehicles,Even though Mahindra & Mahindra warn,SSC Constable GD-23/11/2021 Shift-III,d,"Ans. (d) :  In the above sentence ""Even though  Mahindra & Mahindra warns"" will be used in place of   'Even though Mahindra & Mahindra warn' because  Mahindra and Mahindra is a company and it is  considered a singular Noun. Hence singular verb  (V+s/es) will be used.    Correct sentence -  Even though Mahindra & Mahindra  warns  consumers Not to use low standard engine oil  …………..","Even though Mahindra & Mahindra warn / consumers not to use low-standard engine oil, / people refuse to read the instructions / and damage their vehicles",The following sentence has been split into four segments Identify the segment that contains a grammatical error.
46,People,economic crisis,in advance,has been warning,SSC CHSL (Tier-I) –15/04/2021 (Shift-I),d,Ans. (d) In the above sentence 'people have been' will  be used in place of 'people has been' because plura l verb  (have) is used with people (plural subject).    Correct sentence –   People have been warning  in advance about the coming  economic crisis.,People has been warning in advance about the coming economic crisis,"In the given sentence, identify the segment which contains a grammatical error."
47,are interested,in attending,Neither Sam nor I,the meeting,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),a,Ans. (a) :  In the above sentence 'am' will be used in  place of 'are' because when two subjects are connec ted  with neither ----- nor either ----- or then the ver b is  used according to the latter subject. (I)  Correct sentence-  Neither Sam nor I am  interested in  attending the meeting.,Neither Sam nor I are interested in attending the meeting,Identify the segment in the sentence which contains a grammatical error.
48,been finalised,have not yet,The venue,for the wedding,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),b,"Ans. (b) :  In the above sentence Subject 'the venue' is  in singular form. Hence verb also will be singular,  so  'has' will be used in place of 'have'.   Correct sentence- The venue for the wedding has  not  yet been finalised.",The venue for the wedding have not yet been finalised,Identify the segment in the sentence which contains a grammatical error.
49,are staying,in Mumbai,with his parents,Neither Amit nor Raju,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),a,"Ans. (a) : In the above sentence 'is staying' will be  used in place of 'are staying' because when two  Subjects are connected with either ------ or, Neith er ----  nor then the verb is used according to the latter s ubject.  (Raju)  Correct sentence-  Neither Amit nor Raju is  staying  with his parents in Mumbai.",Neither Amit nor Raju are staying with his parents in Mumbai,"Identify the segment in the sentence, which contains the grammatical error."
50,for the interview,The list of candidates,were put up on the board,to be called,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),c,Ans. (c) : In the above sentence 'was' will be used in  place of 'were' because the main Subject (The list)  of  the sentence is singular. Hence singular verb (was)  will  be used.    Correct sentence- The list of candidates to be called  for the interview was  put up on the board.,The list of candidates to be called for the interview were put up on the board,"Identify the segment in the sentence, which contains the grammatical error."
51,to re-read what,be careful,One should,they has written,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),d,Ans. (d) : In the above sentence 'they have written'  will be used in place of 'they has written' because   plural verb (have) will be used with plural subject   (they).   Correct sentence- One should be careful to re-read  what they have  written.,One should be careful to re-read what they has written,"Identify the segment in the sentence, which contains the grammatical error."
52,are kept,The box,of paper clips,in the drawer,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),a,Ans. (a) : In the above sentence The main Subject 'The  box' is singular. Hence singular verb 'is' will be used in  the place of 'are'.   Correct sentence- The box of paper clips is  kept in the  drawer.,The box of paper clips are kept in the drawer,"Identify the segment in the sentence, which contains the grammatical error."
53,to go to,prefer road travel,Agra but I,There is many modes,SSC CGL (Tier-I) – 12/06/2019 (Shift-III),d,"Ans. (d) :  The main subject of the sentence is Many  modes of travel which is plural, so helping verb wi ll be  also plural.   Note- If any sentence starts with Introductory subj ect  'there' then the main subject is used after 'verb'.   Correct Sentence-   There are  many modes of travel to go to Agra but I  prefer road travel.",There is many modes of travel to go to Agra but I prefer road travel,In the sentence identify the segment which contains the grammatical error.
54,Ten kilometers are,for a child,to cover on foot,a long distance,SSC CGL (Tier-I) – 11/06/2019 (Shift-I),a,Ans. (a) :  In the above sentence 'Ten kilometers is'   will be used in place of 'Ten kilometers are' becau se  'Ten kilometers is used as a unit so it is consider ed as a  singular subject. so singular verb (is) is used aft er it'.  Correct Sentence-   Ten kilometers is  a long distance to cover on foot for a  child.,Ten kilometers are a long distance to cover on foot for a child,In the Sentence identify the segment which contains the grammatical error.
55,The child,along with his parents,programme to begin,were waiting for the,SSC CGL (Tier-I) – 11/06/2019 (Shift-III),d,"Ans. (d) :  In the above sentence 'was waiting for the'  will be used in place of 'were waiting for the' bec ause  when two subject are connected with as well as', wi th,  together with, along with etc the verb is used to  according to the first subject. (The child)   Correct Sentence-   The child along with his parents was  waiting for the  programme to begin.",The child along with his parents were waiting for the programme to begin,In the sentence identify the segment which contains the grammatical error.
56,Note down,to ring me up,my phone number,in case you needs,SSC CPO-SI – 09/12/2019 (Shift-II),d,Ans: (d) In the above sentence 'need' (Plural verb) will  be used in place of needs (Singular verb) because t he  subject (you) of the sentence is in plural Number.   Correct Sentence-   Note down my phone number in case you need  to ring  me up. 59. In the sentence identify the segment which  contains the grammatical error.    Saurav Ganguly have emerged as the new  President of the BCCI after a night long  discussion.    (a) Saurav Ganguly have emerged   (b) as the new President    (c) of the BCCI    (d) after a night long discussion   SSC CPO-SI – 11/12/2019 (Shift-I),Note down my phone number in case you needs to ring me up,Identify the segment in the sentence which contains the grammatical error.
57,No error,The monsoon have,retreated from most parts,in the past five days,SSC CPO-SI – 12/12/2019 (Shift-I),b,"Ans: (b) In the above Sentence 'The monsoon has' will  be used in place of 'The monsoon have' because  'Monsoon' is an uncountable Noun, So Singular verb  (has) will be used for it.    Correct sentence-   The monsoon has , in the past five days, retreated from  most parts of the country.","The monsoon have, in the past five days, retreated from most parts of the country","Identify the segment in the sentence which contains the grammtical error If there is no error, select 'No error'."
58,running into 1200 pages,remain now,only one copy of the book,on Gandhiji's visit to the State,SSC CPO-SI – 13/12/2019 (Shift-II),b,"Ans. (b) :  In the above sentence singular verb  'Remains' will be used in place of Plural verb 'Rem ain'  because the Subject (only one copy) of the sentence  is  singular.   Correct sentence-    Only one copy of the book, running into 1200 pages,   on Gandhiji's visit to the State of Andhra Pradesh,   remains now .","Only one copy of the book, running into 1200 pages, on Gandhiji's visit to the State of Andhra Pradesh, remain now",In the sentence identify the segment which contains the grammatical error.
59,has differences,over the use of the river water,especially during the summer months,The two states frequently,SSC CHSL (Tier-I) –09/07/2019 (Shift-III)Spotting Error 18 YCT,a,Ans: (a) In the above sentence 'have differences' will be  used in place of 'has differences' because the subj ect (Two  states) of the Sentence is plural. Hence plural ver b 'have'  will be used.   Correct sentence-   The two states frequently have  differences over the use  of the river water especially during the summer mon ths.,The two states frequently has differences over the use of the river water especially during the summer months,Identify the segment in the sentence which contains the grammatical error.
60,was congratulated,as well as the captain,The members of the,victorious football team,SSC CHSL (Tier-I) –05/07/2019 (Shift-II),a,"Ans: (a) In the above sentence Plural helping verb  'were' will be used in place of singular helping ve rb  'was' because when two subjects are connected with as  well as, with, like, besides etc the verb is used  according to the first subject. (football team)   Correct sentence-   The members of the victorious football team as well  as  the captain were  congratulated.",The members of the victorious football team as well as the captain was congratulated,Identify the segment which contains the grammatical error.
